total_sqft,bath,balcony,price,bhk
1056.0,2.0,1.0,39.07,2
2600.0,5.0,3.0,120.0,4
1440.0,2.0,3.0,62.0,3
1521.0,3.0,1.0,95.0,3
1200.0,2.0,1.0,51.0,2
1170.0,2.0,1.0,38.0,2
1310.0,3.0,1.0,63.25,3
1800.0,2.0,2.0,70.0,3
2785.0,5.0,3.0,295.0,4
1000.0,2.0,1.0,38.0,2
1100.0,2.0,2.0,40.0,2
2250.0,3.0,2.0,148.0,3
1175.0,2.0,2.0,73.5,2
1180.0,3.0,2.0,48.0,3
1540.0,3.0,3.0,60.0,3
2770.0,4.0,2.0,290.0,3
1100.0,2.0,2.0,48.0,2
600.0,1.0,1.0,15.0,1
1755.0,3.0,1.0,122.0,3
2800.0,5.0,2.0,380.0,4
1767.0,3.0,1.0,103.0,3
510.0,1.0,0.0,25.25,1
1250.0,3.0,2.0,56.0,3
660.0,1.0,1.0,23.1,2
1610.0,3.0,2.0,81.0,3
1151.0,2.0,2.0,48.77,2
1025.0,2.0,1.0,47.0,3
2475.0,4.0,0.0,186.0,4
1075.0,2.0,1.0,35.0,3
1760.0,2.0,2.0,123.0,3
1693.0,3.0,3.0,57.39,3
700.0,2.0,1.0,36.0,2
1070.0,2.0,1.0,45.5,2
1724.0,3.0,2.0,125.0,3
1290.0,2.0,2.0,56.12,3
1143.0,2.0,2.0,45.0,2
1254.0,3.0,2.0,38.0,3
600.0,1.0,0.0,38.0,1
660.0,1.0,0.0,48.0,1
1330.74,2.0,2.0,91.79,2
970.0,2.0,0.0,33.0,2
1459.0,2.0,1.0,94.82,2
800.0,1.0,1.0,130.0,2
869.0,2.0,1.0,36.0,2
1270.0,2.0,1.0,50.0,2
1670.0,3.0,1.0,99.0,3
2010.0,3.0,2.0,91.0,3
1185.0,2.0,2.0,75.0,2
1600.0,2.0,3.0,75.0,3
1200.0,2.0,2.0,44.0,2
1500.0,2.0,2.0,185.0,2
1407.0,4.0,1.0,150.0,6
840.0,2.0,2.0,45.0,2
4395.0,3.0,2.0,240.0,3
845.0,2.0,1.0,55.0,2
5700.0,5.0,3.0,650.0,4
1160.0,2.0,2.0,44.0,2
3000.0,8.0,0.0,140.0,8
1100.0,2.0,1.0,62.0,2
1140.0,2.0,3.0,43.0,2
1220.0,2.0,1.0,57.0,2
1350.0,7.0,0.0,85.0,8
1005.0,2.0,1.0,36.68,2
500.0,3.0,2.0,100.0,3
1358.0,2.0,1.0,80.58,2
1569.0,3.0,1.0,101.0,3
1240.0,2.0,1.0,70.0,2
2089.0,3.0,2.0,140.0,3
1206.0,2.0,1.0,48.23,2
1150.0,2.0,3.0,40.0,2
2511.0,3.0,3.0,205.0,3
460.0,1.0,0.0,22.0,2
4400.0,6.0,3.0,250.0,6
1660.0,2.0,2.0,105.0,3
1326.0,2.0,2.0,78.0,2
1325.0,2.0,2.0,60.8,3
1499.0,5.0,2.0,102.0,3
3000.0,7.0,2.0,210.0,6
1665.0,3.0,2.0,88.0,3
708.0,2.0,2.0,37.0,2
1060.0,2.0,2.0,58.06,2
710.0,6.0,3.0,160.0,6
1000.0,2.0,2.0,70.0,2
1000.0,2.0,1.0,28.88,2
1450.0,2.0,2.0,70.0,3
1200.0,4.0,2.0,155.0,4
1296.0,2.0,3.0,80.0,2
1540.0,3.0,2.0,90.0,3
2894.0,4.0,1.0,245.0,4
1330.0,2.0,1.0,48.0,3
1200.0,2.0,1.0,65.0,2
1200.0,3.0,1.0,90.0,3
2502.0,3.0,3.0,138.0,3
650.0,1.0,1.0,17.0,2
2400.0,2.0,1.0,150.0,3
1007.0,2.0,2.0,43.0,2
1200.0,2.0,2.0,50.0,2
966.0,2.0,2.0,49.9,2
1630.0,2.0,1.0,98.0,3
1640.0,3.0,2.0,229.0,3
782.0,2.0,2.0,55.68,2
1260.0,2.0,2.0,66.78,2
1800.0,3.0,3.0,120.0,3
1413.0,2.0,2.0,75.0,3
1116.0,2.0,1.0,51.91,2
1530.0,2.0,1.0,45.9,3
3700.0,4.0,1.0,225.0,4
2497.0,3.0,2.0,140.0,3
1540.0,2.0,3.0,64.0,3
1436.0,3.0,1.0,74.75,3
1100.0,2.0,2.0,75.0,2
276.0,3.0,3.0,23.0,2
1427.0,3.0,2.0,120.0,3
2061.0,3.0,1.0,200.0,3
5611.5,4.0,0.0,477.0,4
2650.0,4.0,2.0,150.0,4
1282.0,2.0,2.0,68.52,3
1050.0,2.0,1.0,34.0,2
1600.0,3.0,2.0,65.0,3
945.0,2.0,1.0,54.0,2
1500.0,2.0,1.0,78.0,2
950.0,7.0,0.0,115.0,7
1870.0,3.0,3.0,110.0,3
1600.0,3.0,1.0,75.0,3
880.0,1.0,1.0,16.5,2
1200.0,4.0,0.0,210.0,4
